feature,importance,fold
MAX(bureau.DAYS_CREDIT_ENDDATE),306,1
MAX(bureau.DAYS_ENDDATE_FACT),273,1
MAX(bureau.AMT_CREDIT_MAX_OVERDUE),132,1
MAX(bureau.CNT_CREDIT_PROLONG),0,1
MAX(bureau.AMT_CREDIT_SUM),168,1
MAX(bureau.AMT_CREDIT_SUM_DEBT),189,1
MAX(bureau.AMT_CREDIT_SUM_LIMIT),68,1
MAX(bureau.AMT_CREDIT_SUM_OVERDUE),30,1
MAX(bureau.DAYS_CREDIT_UPDATE),146,1
MAX(bureau.AMT_ANNUITY),34,1
MAX(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),3,1
MAX(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
MAX(bureau.MONTHS_BALANCE_SIZE),22,1
MAX(bureau.CREDIT_ACTIVE_Active),0,1
MAX(bureau.CREDIT_ACTIVE_Bad debt),0,1
MAX(bureau.CREDIT_ACTIVE_Closed),0,1
MAX(bureau.CREDIT_ACTIVE_Sold),1,1
MAX(bureau.CREDIT_CURRENCY_currency 1),0,1
MAX(bureau.CREDIT_CURRENCY_currency 2),0,1
MAX(bureau.CREDIT_CURRENCY_currency 3),0,1
MAX(bureau.CREDIT_CURRENCY_currency 4),0,1
MAX(bureau.CREDIT_TYPE_Another type of loan),0,1
MAX(bureau.CREDIT_TYPE_Car loan),1,1
MAX(bureau.CREDIT_TYPE_Cash loan (non-earmarked)),0,1
MAX(bureau.CREDIT_TYPE_Consumer credit),0,1
MAX(bureau.CREDIT_TYPE_Credit card),0,1
MAX(bureau.CREDIT_TYPE_Interbank credit),0,1
MAX(bureau.CREDIT_TYPE_Loan for business development),0,1
MAX(bureau.CREDIT_TYPE_Loan for purchase of shares (margin lending)),0,1
MAX(bureau.CREDIT_TYPE_Loan for the purchase of equipment),0,1
MAX(bureau.CREDIT_TYPE_Loan for working capital replenishment),0,1
MAX(bureau.CREDIT_TYPE_Microloan),2,1
MAX(bureau.CREDIT_TYPE_Mobile operator loan),0,1
MAX(bureau.CREDIT_TYPE_Mortgage),5,1
MAX(bureau.CREDIT_TYPE_Real estate loan),0,1
MAX(bureau.CREDIT_TYPE_Unknown type of loan),0,1
MIN(bureau.DAYS_CREDIT),93,1
MIN(bureau.CREDIT_DAY_OVERDUE),0,1
MIN(bureau.DAYS_CREDIT_ENDDATE),84,1
MIN(bureau.DAYS_ENDDATE_FACT),74,1
MIN(bureau.AMT_CREDIT_MAX_OVERDUE),21,1
MIN(bureau.CNT_CREDIT_PROLONG),0,1
MIN(bureau.AMT_CREDIT_SUM),136,1
MIN(bureau.AMT_CREDIT_SUM_DEBT),70,1
MIN(bureau.AMT_CREDIT_SUM_LIMIT),3,1
MIN(bureau.AMT_CREDIT_SUM_OVERDUE),0,1
MIN(bureau.DAYS_CREDIT_UPDATE),66,1
MIN(bureau.AMT_ANNUITY),16,1
MIN(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),15,1
MIN(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
MIN(bureau.MONTHS_BALANCE_SIZE),24,1
MIN(bureau.CREDIT_ACTIVE_Active),0,1
MIN(bureau.CREDIT_ACTIVE_Closed),0,1
MIN(bureau.CREDIT_ACTIVE_Sold),0,1
MIN(bureau.CREDIT_CURRENCY_currency 1),0,1
MIN(bureau.CREDIT_CURRENCY_currency 2),0,1
MIN(bureau.CREDIT_CURRENCY_currency 3),0,1
MIN(bureau.CREDIT_TYPE_Another type of loan),0,1
MIN(bureau.CREDIT_TYPE_Car loan),0,1
MIN(bureau.CREDIT_TYPE_Consumer credit),8,1
MIN(bureau.CREDIT_TYPE_Credit card),1,1
MIN(bureau.CREDIT_TYPE_Loan for business development),0,1
MIN(bureau.CREDIT_TYPE_Loan for the purchase of equipment),0,1
MIN(bureau.CREDIT_TYPE_Loan for working capital replenishment),0,1
MIN(bureau.CREDIT_TYPE_Microloan),0,1
MIN(bureau.CREDIT_TYPE_Mortgage),0,1
MIN(bureau.CREDIT_TYPE_Real estate loan),0,1
MIN(bureau.CREDIT_TYPE_Unknown type of loan),0,1
MEDIAN(bureau.DAYS_CREDIT),214,1
MEDIAN(bureau.CREDIT_DAY_OVERDUE),0,1
MEDIAN(bureau.DAYS_CREDIT_ENDDATE),246,1
MEDIAN(bureau.DAYS_ENDDATE_FACT),113,1
MEDIAN(bureau.AMT_CREDIT_MAX_OVERDUE),72,1
MEDIAN(bureau.CNT_CREDIT_PROLONG),0,1
MEDIAN(bureau.AMT_CREDIT_SUM),231,1
MEDIAN(bureau.AMT_CREDIT_SUM_DEBT),76,1
MEDIAN(bureau.AMT_CREDIT_SUM_LIMIT),17,1
MEDIAN(bureau.AMT_CREDIT_SUM_OVERDUE),0,1
MEDIAN(bureau.DAYS_CREDIT_UPDATE),123,1
MEDIAN(bureau.AMT_ANNUITY),20,1
MEDIAN(bureau.NEW_AMT_CREDIT_SUM_DEBT_DIVIDE_AMT_CREDIT_SUM),77,1
MEDIAN(bureau.NEW_AMT_CREDIT_SUM_LIMIT_DIVIDE_AMT_CREDIT_SUM),0,1
MEDIAN(bureau.MONTHS_BALANCE_SIZE),18,1
MEDIAN(bureau.CREDIT_ACTIVE_Active),6,1
MEDIAN(bureau.CREDIT_ACTIVE_Bad debt),0,1
MEDIAN(bureau.CREDIT_ACTIVE_Closed),17,1
MEDIAN(bureau.CREDIT_ACTIVE_Sold),0,1
MEDIAN(bureau.CREDIT_CURRENCY_currency 1),0,1
MEDIAN(bureau.CREDIT_CURRENCY_currency 2),0,1
MEDIAN(bureau.CREDIT_CURRENCY_currency 3),0,1
MEDIAN(bureau.CREDIT_CURRENCY_currency 4),0,1
MEDIAN(bureau.CREDIT_TYPE_Another type of loan),0,1
MEDIAN(bureau.CREDIT_TYPE_Car loan),0,1
MEDIAN(bureau.CREDIT_TYPE_Consumer credit),7,1
MEDIAN(bureau.CREDIT_TYPE_Credit card),4,1
MEDIAN(bureau.CREDIT_TYPE_Loan for business development),0,1
MEDIAN(bureau.CREDIT_TYPE_Loan for purchase of shares (margin lending)),0,1
MEDIAN(bureau.CREDIT_TYPE_Loan for the purchase of equipment),0,1
MEDIAN(bureau.CREDIT_TYPE_Loan for working capital replenishment),0,1
MEDIAN(bureau.CREDIT_TYPE_Microloan),9,1
MEDIAN(bureau.CREDIT_TYPE_Mortgage),2,1
MEDIAN(bureau.CREDIT_TYPE_Real estate loan),0,1
MEDIAN(bureau.CREDIT_TYPE_Unknown type of loan),0,1
COUNT(bureau),12,1
SUM(previous_application.AMT_ANNUITY),42,1
SUM(previous_application.AMT_APPLICATION),28,1
SUM(previous_application.AMT_CREDIT),27,1
SUM(previous_application.AMT_DOWN_PAYMENT),116,1
SUM(previous_application.AMT_GOODS_PRICE),5,1
SUM(previous_application.HOUR_APPR_PROCESS_START),39,1
SUM(previous_application.NFLAG_LAST_APPL_IN_DAY),2,1
SUM(previous_application.RATE_DOWN_PAYMENT),41,1
SUM(previous_application.RATE_INTEREST_PRIMARY),0,1
SUM(previous_application.RATE_INTEREST_PRIVILEGED),0,1
SUM(previous_application.DAYS_DECISION),61,1
SUM(previous_application.SELLERPLACE_AREA),68,1
SUM(previous_application.CNT_PAYMENT),82,1
SUM(previous_application.DAYS_FIRST_DRAWING),4,1
SUM(previous_application.DAYS_FIRST_DUE),40,1
SUM(previous_application.DAYS_LAST_DUE_1ST_VERSION),123,1
SUM(previous_application.DAYS_LAST_DUE),29,1
SUM(previous_application.DAYS_TERMINATION),33,1
SUM(previous_application.NFLAG_INSURED_ON_APPROVAL),3,1
SUM(previous_application.NEW_AMT_APPLICATION_DIVIDE_AMT_CREDIT),35,1
SUM(previous_application.NEW_AMT_DOWN_PAYMENT_DIVIDE_AMT_CREDIT),30,1
SUM(previous_application.POS_MONTHS_BALANCE_SIZE),26,1
SUM(previous_application.CREDIT_MONTHS_BALANCE_SIZE),5,1
SUM(previous_application.NAME_CONTRACT_TYPE_Cash loans),12,1
SUM(previous_application.NAME_CONTRACT_TYPE_Consumer loans),10,1
SUM(previous_application.NAME_CONTRACT_TYPE_Revolving loans),3,1
SUM(previous_application.NAME_CONTRACT_TYPE_nan),0,1
SUM(previous_application.WEEKDAY_APPR_PROCESS_START_FRIDAY),6,1
SUM(previous_application.WEEKDAY_APPR_PROCESS_START_MONDAY),11,1
SUM(previous_application.WEEKDAY_APPR_PROCESS_START_SATURDAY),15,1
SUM(previous_application.WEEKDAY_APPR_PROCESS_START_SUNDAY),5,1
SUM(previous_application.WEEKDAY_APPR_PROCESS_START_THURSDAY),23,1
SUM(previous_application.WEEKDAY_APPR_PROCESS_START_TUESDAY),15,1
SUM(previous_application.WEEKDAY_APPR_PROCESS_START_WEDNESDAY),9,1
SUM(previous_application.FLAG_LAST_APPL_PER_CONTRACT_N),0,1
SUM(previous_application.FLAG_LAST_APPL_PER_CONTRACT_Y),2,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Building a house or an annex),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Business development),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a garage),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a holiday home / land),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a home),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a new car),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Buying a used car),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Car repairs),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Education),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Everyday expenses),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Furniture),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Gasification / water supply),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Hobby),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Journey),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Medicine),1,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Money for a third person),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Other),3,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Payments on other loans),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Purchase of electronic equipment),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Refusal to name the goal),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Repairs),2,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Urgent needs),1,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_Wedding / gift / holiday),0,1
SUM(previous_application.NAME_CASH_LOAN_PURPOSE_nan),5,1
SUM(previous_application.NAME_CONTRACT_STATUS_Approved),3,1
SUM(previous_application.NAME_CONTRACT_STATUS_Canceled),17,1
SUM(previous_application.NAME_CONTRACT_STATUS_Refused),35,1
SUM(previous_application.NAME_CONTRACT_STATUS_Unused offer),0,1
SUM(previous_application.NAME_PAYMENT_TYPE_Cash through the bank),7,1
SUM(previous_application.NAME_PAYMENT_TYPE_Cashless from the account of the employer),0,1
SUM(previous_application.NAME_PAYMENT_TYPE_Non-cash from your account),1,1
SUM(previous_application.NAME_PAYMENT_TYPE_nan),12,1
SUM(previous_application.CODE_REJECT_REASON_CLIENT),0,1
SUM(previous_application.CODE_REJECT_REASON_HC),9,1
SUM(previous_application.CODE_REJECT_REASON_LIMIT),8,1
SUM(previous_application.CODE_REJECT_REASON_SCO),13,1
SUM(previous_application.CODE_REJECT_REASON_SCOFR),8,1
SUM(previous_application.CODE_REJECT_REASON_SYSTEM),0,1
SUM(previous_application.CODE_REJECT_REASON_VERIF),0,1
SUM(previous_application.CODE_REJECT_REASON_nan),5,1
SUM(previous_application.NAME_TYPE_SUITE_Children),0,1
SUM(previous_application.NAME_TYPE_SUITE_Family),5,1
SUM(previous_application.NAME_TYPE_SUITE_Group of people),0,1
SUM(previous_application.NAME_TYPE_SUITE_Other_A),0,1
SUM(previous_application.NAME_TYPE_SUITE_Other_B),1,1
"SUM(previous_application.NAME_TYPE_SUITE_Spouse, partner)",5,1
SUM(previous_application.NAME_TYPE_SUITE_Unaccompanied),18,1
SUM(previous_application.NAME_TYPE_SUITE_nan),16,1
SUM(previous_application.NAME_CLIENT_TYPE_New),36,1
SUM(previous_application.NAME_CLIENT_TYPE_Refreshed),3,1
SUM(previous_application.NAME_CLIENT_TYPE_Repeater),6,1
SUM(previous_application.NAME_CLIENT_TYPE_nan),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Additional Service),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Animals),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Audio/Video),5,1
SUM(previous_application.NAME_GOODS_CATEGORY_Auto Accessories),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Clothing and Accessories),4,1
SUM(previous_application.NAME_GOODS_CATEGORY_Computers),2,1
SUM(previous_application.NAME_GOODS_CATEGORY_Construction Materials),1,1
SUM(previous_application.NAME_GOODS_CATEGORY_Consumer Electronics),2,1
SUM(previous_application.NAME_GOODS_CATEGORY_Direct Sales),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Education),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Fitness),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Furniture),2,1
SUM(previous_application.NAME_GOODS_CATEGORY_Gardening),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Homewares),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Insurance),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Jewelry),1,1
SUM(previous_application.NAME_GOODS_CATEGORY_Medical Supplies),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Medicine),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Mobile),8,1
SUM(previous_application.NAME_GOODS_CATEGORY_Office Appliances),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Other),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Photo / Cinema Equipment),4,1
SUM(previous_application.NAME_GOODS_CATEGORY_Sport and Leisure),10,1
SUM(previous_application.NAME_GOODS_CATEGORY_Tourism),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_Vehicles),4,1
SUM(previous_application.NAME_GOODS_CATEGORY_Weapon),0,1
SUM(previous_application.NAME_GOODS_CATEGORY_nan),10,1
SUM(previous_application.NAME_PORTFOLIO_Cards),1,1
SUM(previous_application.NAME_PORTFOLIO_Cars),0,1
SUM(previous_application.NAME_PORTFOLIO_Cash),4,1
SUM(previous_application.NAME_PORTFOLIO_POS),4,1
SUM(previous_application.NAME_PORTFOLIO_nan),8,1
SUM(previous_application.NAME_PRODUCT_TYPE_walk-in),11,1
SUM(previous_application.NAME_PRODUCT_TYPE_x-sell),14,1
SUM(previous_application.NAME_PRODUCT_TYPE_nan),12,1
SUM(previous_application.CHANNEL_TYPE_AP+ (Cash loan)),4,1
SUM(previous_application.CHANNEL_TYPE_Car dealer),0,1
SUM(previous_application.CHANNEL_TYPE_Channel of corporate sales),26,1
SUM(previous_application.CHANNEL_TYPE_Contact center),3,1
SUM(previous_application.CHANNEL_TYPE_Country-wide),13,1
SUM(previous_application.CHANNEL_TYPE_Credit and cash offices),12,1
SUM(previous_application.CHANNEL_TYPE_Regional / Local),17,1
SUM(previous_application.CHANNEL_TYPE_Stone),8,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Auto technology),0,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Clothing),1,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Connectivity),39,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Construction),0,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Consumer electronics),14,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Furniture),0,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Industry),2,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Jewelry),0,1
SUM(previous_application.NAME_SELLER_INDUSTRY_MLM partners),0,1
SUM(previous_application.NAME_SELLER_INDUSTRY_Tourism),0,1
SUM(previous_application.NAME_SELLER_INDUSTRY_nan),5,1
SUM(previous_application.NAME_YIELD_GROUP_high),44,1
SUM(previous_application.NAME_YIELD_GROUP_low_action),42,1
